Job
Labour nec 99
Assemblers 84
Labour nec 99
Teachers 15
Teachers 15
Teachers 15
Teachers 15
Teachers 15
Clerical nec 35
Construction 95
Construction 95
Construction 95
Ag labour 63
Ag labour 63
Ag labour 63
Construction 95
Construction 95
Construction 95
Clerical nec 35
Drivers 98
Loaders 97
Labour nec 99
Mgr manf 24
Unidentifiable occ X1
Clerical nec 35
Mgr manf 24
Mgr manf 24
Ag labour 63
Teachers 15
Teachers 15
Service nec 59
Clerical supe 30
Clerical nec 35
Clerical nec 35
Construction 95
Teachers 15
Police 57
Police 57
Teachers 15
Police 57
Teachers 15
Tailors 79
Clerical nec 35
Ag labour 63
Ag labour 63
Ag labour 63
Ag labour 63
Clerical supe 30
Drivers 98
Drivers 98
Ag labour 63
Construction 95
Ag labour 63
Teachers 15
Electrical 85
Teachers 15
Tailors 79
Teachers 15
Carpenters 81
Ag labour 63
Ag labour 63
Ag labour 63
Sweepers 54
Tailors 79
Plantation lab 64
Construction 95
Construction 95
Construction 95
Construction 95
Cooks/waiters 52
Construction 95
Other farm 65
Teachers 15
Clerical nec 35
Police 57
"Sales, shop 43"
Clerical supe 30
Police 57
Construction 95
Cooks/waiters 52
Cooks/waiters 52
Construction 95
Police 57
Clerical supe 30
Construction 95
Textile 75
Ag labour 63
Artists 17
Clerical nec 35
Cooks/waiters 52
Ag labour 63
Other farm 65
Construction 95
Journalists 16
Cooks/waiters 52
Nursing 8
Clerical supe 30
Police 57
Cooks/waiters 52
Construction 95
Teachers 15
Textile 75
Teachers 15
Cooks/waiters 52
Electrical 85
Police 57
Police 57
Nursing 8
Teachers 15
Teachers 15
Assemblers 84
Police 57
Drivers 98
"Sales, shop 43"
Labour nec 99
Carpenters 81
Plumbers/welders 87
Carpenters 81
Carpenters 81
Construction 95
Carpenters 81
Machine tool op 83
Construction 95
Metal workers 72
Teachers 15
Ag labour 63
Construction 95
Construction 95
Construction 95
Professional nec 19
Carpenters 81
"Sales, shop 43"
"Sales, shop 43"
Carpenters 81
Drivers 98
Drivers 98
Construction 95
Construction 95
Construction 95
Police 57
Construction 95
Ag labour 63
Ag labour 63
Cinema op 86
Construction 95
Mgr manf 24
Police 57
Book-keepers 33
Typists 32
Construction 95
"Sales, shop 43"
Food 77
Construction 95
Construction 95
Electrical 85
Teachers 15
Forestry 66
Police 57
Police 57
Construction 95
Drivers 98
Cooks/waiters 52
Construction 95
Labour nec 99
Labour nec 99
Labour nec 99
Construction 95
Construction 95
Construction 95
Transp conductors 37
Construction 95
Barbers 56
Barbers 56
Carpenters 81
Carpenters 81
Labour nec 99
Teachers 15
Clerical supe 30
Drivers 98
Labour nec 99
Carpenters 81
Carpenters 81
Teachers 15
Carpenters 81
Unidentifiable occ X1
Clerical nec 35
Clerical supe 30
Teachers 15
Clerical nec 35
Drivers 98
Drivers 98
Book-keepers 33
Clerical nec 35
Labour nec 99
Police 57
Police 57
Clerical nec 35
Ag labour 63
Teachers 15
Mail distributors 38
Clerical nec 35
Teachers 15
Teachers 15
Teachers 15
Ag labour 63
Ag labour 63
Labour nec 99
Drivers 98
Transp conductors 37
Drivers 98
Unidentifiable occ X1
Drivers 98
Drivers 98
Ag labour 63
Drivers 98
Labour nec 99
Clerical supe 30
Teachers 15
Labour nec 99
Assemblers 84
Ag labour 63
Labour nec 99
Labour nec 99
Assemblers 84
Painters 93
Painters 93
Painters 93
Painters 93
Textile 75
Transp conductors 37
Boilermen 96
Clerical supe 30
Clerical supe 30
Teachers 15
Teachers 15
"Sales, nec 49"
Drivers 98
Construction 95
Carpenters 81
Carpenters 81
Plumbers/welders 87
Wood/paper 73
Labour nec 99
Carpenters 81
Telephone op 39
Teachers 15
Drivers 98
Clerical nec 35
Drivers 98
Drivers 98
Cinema op 86
Boilermen 96
Computing op 34
Clerical nec 35
Machine tool op 83
Typists 32
Computing op 34
Tailors 79
Carpenters 81
Construction 95
Construction 95
Construction 95
Construction 95
Construction 95
"Sales, shop 43"
"Sales, shop 43"
Construction 95
Drivers 98
Drivers 98
Drivers 98
Police 57
Teachers 15
Drivers 98
Teachers 15
Labour nec 99
Drivers 98
Clerical nec 35
Clerical nec 35
Electrical 85
Assemblers 84
Teachers 15
Clerical nec 35
Clerical nec 35
Nursing 8
Teachers 15
Clerical nec 35
Drivers 98
"Sales, shop 43"
Clerical supe 30
Technical sales 42
Book-keepers 33
Launderers 55
Launderers 55
Machine tool op 83
Machine tool op 83
Machine tool op 83
Machine tool op 83
Clerical supe 30
Mgr manf 24
Teachers 15
Mgr service 26
Tailors 79
Mgr service 26
Drivers 98
Teachers 15
Launderers 55
Launderers 55
Textile 75
Textile 75
Mgr manf 24
Labour nec 99
Labour nec 99
Assemblers 84
Clerical nec 35
Clerical nec 35
Construction 95
Machine tool op 83
Construction 95
Machine tool op 83
Clerical nec 35
Construction 95
Construction 95
Construction 95
Carpenters 81
Tailors 79
Labour nec 99
Clerical nec 35
Police 57
Unidentifiable occ X1
Unidentifiable occ X1
Eng. tech 3
Teachers 15
Clerical nec 35
Carpenters 81
Textile 75
Carpenters 81
Clerical nec 35
Computing op 34
Plumbers/welders 87
Tailors 79
FIRE sales 44
"Sales, shop 43"
Tailors 79
Textile 75
Clerical supe 30
Labour nec 99
"Sales, shop 43"
Textile 75
Teachers 15
Textile 75
Computing op 34
Clerical nec 35
Drivers 98
Tailors 79
Drivers 98
Drivers 98
Computing op 34
Engineers 2
Drivers 98
Service nec 59
Teachers 15
Eng. tech 3
Clerical nec 35
Painters 93
"Sales, shop 43"
Service nec 59
Accountants 12
Electrical 85
Service nec 59
Electrical 85
Painters 93
Physicians 7
Clerical supe 30
Service nec 59
Computing op 34
Teachers 15
Clerical supe 30
Assemblers 84
Clerical nec 35
Govt officials 21
Cooks/waiters 52
FIRE sales 44
Construction 95
Painters 93
Electrical 85
Clerical nec 35
Drivers 98
Drivers 98
Teachers 15
Teachers 15
Ag labour 63
Tailors 79
Ag labour 63
Construction 95
Shopkeepers 40
Ag labour 63
Ag labour 63
Ag labour 63
Ag labour 63
Ag labour 63
Ag labour 63
Police 57
Ag labour 63
Teachers 15
Construction 95
Drivers 98
Ag labour 63
Ag labour 63
Ag labour 63
Drivers 98
Ag labour 63
Ag labour 63
Ag labour 63
Teachers 15
Teachers 15
Teachers 15
Nursing 8
Carpenters 81
Construction 95
Construction 95
Construction 95
Ag labour 63
Ag labour 63
Ag labour 63
Cooks/waiters 52
Ag labour 63
Ag labour 63
Tailors 79
Construction 95
Construction 95
Teachers 15
Teachers 15
Textile 75
Construction 95
Drivers 98
Clerical supe 30
Teachers 15
Teachers 15
Carpenters 81
Barbers 56
Ag labour 63
Sweepers 54
Ag labour 63
Ag labour 63
Police 57
Labour nec 99
Carpenters 81
Labour nec 99
Labour nec 99
Carpenters 81
Construction 95
Physicians 7
Nursing 8
Clerical nec 35
Ag labour 63
Wood/paper 73
Wood/paper 73
Clerical nec 35
Ag labour 63
Construction 95
Ag labour 63
Ag labour 63
Construction 95
Teachers 15
Village officials 31
Teachers 15
Book-keepers 33
Teachers 15
Teachers 15
Ag labour 63
Ag labour 63
Construction 95
Ag labour 63
Manuf agents 41
Teachers 15
Clerical supe 30
Teachers 15
Ag labour 63
Ag labour 63
Teachers 15
Clerical nec 35
Teachers 15
Ag labour 63
Clerical nec 35
Clerical supe 30
Drivers 98
Ag labour 63
Construction 95
Drivers 98
Ag labour 63
Ag labour 63
Teachers 15
Teachers 15
Ag labour 63
Eng. tech 3
Physicians 7
Labour nec 99
Forestry 66
Ag labour 63
Painters 93
Clerical nec 35
Professional nec 19
Police 57
Transp conductors 37
Construction 95
House keepers 51
Construction 95
Construction 95
Teachers 15
Nursing 8
Construction 95
Construction 95
"Sales, shop 43"
Construction 95
Construction 95
Police 57
Teachers 15
Painters 93
Teachers 15
Nursing 8
Clerical nec 35
Teachers 15
Construction 95
Food 77
Teachers 15
Teachers 15
Police 57
Teachers 15
Teachers 15
Teachers 15
Mail distributors 38
Teachers 15
Drivers 98
Clerical supe 30
Teachers 15
Teachers 15
Plumbers/welders 87
Drivers 98
Construction 95
Nursing 8
Loaders 97
Computing op 34
Construction 95
Construction 95
Painters 93
Painters 93
Drivers 98
Police 57
Teachers 15
Electrical 85
Construction 95
Clerical supe 30
Teachers 15
Teachers 15
Teachers 15
Clerical nec 35
Construction 95
Cooks/waiters 52
Ag labour 63
Assemblers 84
Construction 95
Construction 95
Construction 95
Construction 95
Performers 18
Drivers 98
Construction 95
Construction 95
Construction 95
Construction 95
Construction 95
Construction 95
Construction 95
Construction 95
Construction 95
Construction 95
Ag labour 63
Construction 95
"Sales, shop 43"
Construction 95
"Sales, shop 43"
Construction 95
Construction 95
Construction 95
Construction 95
Construction 95
Construction 95
Construction 95
Ag labour 63
Sweepers 54
Life scientists 5
Construction 95
Construction 95
Construction 95
Labour nec 99
Ag labour 63
Construction 95
Construction 95
Construction 95
Construction 95
Construction 95
Construction 95
Machine tool op 83
Construction 95
Painters 93
